plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
1,1 - Traffic Cone (1m),Traffic Cone (1m),No.,,,,,,,,,,,TRUE
10,10 - Lawnmower Gianni Ferrari GTS 220 DW (2021),Lawnmower Gianni Ferrari GTS 220 DW (2021),Hour,,,,,,,,,,,TRUE
11,11 - Tractor International 784 (NIC 462),Tractor International 784 (NIC 462),Hour,,,,,,,,,,,TRUE
14,14 - Forflift JCB (96-KE-6232),Forflift JCB (96-KE-6232),Hour,Hours,TRUE,Forklift,,,,,,TRUE,,TRUE
15,15 - Excavator JCB 3CX (97-MH-3692),Excavator JCB 3CX (97-MH-3692),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
18,18 - Excavator JCB 3CX (01-KE-10392),Excavator JCB 3CX (01-KE-10392),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
20,20 - Excavator Hitachi EX75-5 (2001),Excavator Hitachi EX75-5 (2001),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
22,22 - Dumper Barford 6 Tonne (99-D-70821),Dumper Barford 6 Tonne (99-D-70821),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
24,24 - Tractor J.D. 6900 (97-KE-7335),Tractor J.D. 6900 (97-KE-7335),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
25,25 - Audi A6 (162-WW-1890),Audi A6 (162-WW-1890),Hour,,,,,,,,,,,TRUE
30,30 - Roller Bomag BW 65H (0.68 Tonne),Roller Bomag BW 65H (0.68 Tonne),Hour,,,,,,,,,,,TRUE
31,31 - Roadsaw Dimas FS3100D,Roadsaw Dimas FS3100D,Hour,Hours,TRUE,,,,,,,,,TRUE
33,33 - Tractor Fastrac 8250 (06-KE-9815),Tractor Fastrac 8250 (06-KE-9815),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
36,36 - Van Hiace (00-OY-2913),Van Hiace (00-OY-2913),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
38,38 - Tractor Fastrac 8250 (07-KE-5042),Tractor Fastrac 8250 (07-KE-5042),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
39,39 - Mercedes Benz GLC 200D (211-KE-1003),Mercedes Benz GLC 200D (211-KE-1003),Hour,,,,,,,,,,,TRUE
40,40 - Car Audi A4 (05-CN-1256),Car Audi A4 (05-CN-1256),Hour,,,,,,,,,,,TRUE
41,41 - Tractor J.D. 6920 (06-KE-6143),Tractor J.D. 6920 (06-KE-6143),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
43,43 - Jeep Land Rover (141-D-27340),Jeep Land Rover (141-D-27340),Hour,,,,,TRUE,,,,,,TRUE
47,47 - Traffic Control Stop/Go,Traffic Control Stop/Go,Hour,,,,,,,,,,,TRUE
48,48 - Mercedes Benz GLC 220D (251-KE-602),Mercedes Benz GLC 220D (251-KE-602),Hour,,,,,,,,,,,TRUE
49,49 - Traffic Lights Firh (Steel),Traffic Lights Firh (Steel),Hour,,,,,,,,,,,TRUE
50,50 - Traffic Lights Firh (Steel),Traffic Lights Firh (Steel),Hour,,,,,,,,,,,TRUE
51,51 - Excavator New Holland E30-2 SR (2007),Excavator New Holland E30-2 SR (2007),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
53,53 - Snow Plough Romaquip,Snow Plough Romaquip,Hour,,,,,,,,,,,TRUE
54,54 - Snow Plough Bunce,Snow Plough Bunce,Hour,,,,,,,,,,,TRUE
55,55 - Snow Plough Bunce,Snow Plough Bunce,Hour,,,,,,,,,,,TRUE
56,56 - Traffic Lights Dobio (Plastic),Traffic Lights Dobio (Plastic),Hour,,,,,,,,,,,TRUE
57,57 - Traffic Lights Dobio (Plastic),Traffic Lights Dobio (Plastic),Hour,,,,,,,,,,,TRUE
59,59 - Crusader Mixer Asphalt 18cwt,Crusader Mixer Asphalt 18cwt,Hour,,,,,,,,,,,TRUE
60,60 - Excavator Case CX225 SR (2007),Excavator Case CX225 SR (2007),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
62,62 - Excavator Case CX75 SR (2008),Excavator Case CX75 SR (2008),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
63,"63 - Water Pump (Towed) 6""","Water Pump (Towed) 6""",Hour,Hours,TRUE,,,,,,,,,TRUE
65,65 - Van Sprinter CDI 311 (06-D-65977),Van Sprinter CDI 311 (06-D-65977),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
66,66 - Mercedes Benz S350 (132-WD-362),Mercedes Benz S350 (132-WD-362),Hour,,,,,,,,,,,TRUE
69,69 - Van Hiace (07-OY-3338),Van Hiace (07-OY-3338),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
75,75 - Excavator Case CX50 (2013),Excavator Case CX50 (2013),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
76,76 - Compressor Atlas Copco XAS47 (2013) (2.6 m続/min),Compressor Atlas Copco XAS47 (2013) (2.6 m続/min),Hour,Hours,TRUE,,,,,,TRUE,,,TRUE
77,77 - Excavator Case CX75 SR (2013),Excavator Case CX75 SR (2013),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
78,78 - Planer Wirtgen W600DC (2007),Planer Wirtgen W600DC (2007),Hour,Hours,TRUE,,,,TRUE,,,,,TRUE
80,80 - Roller Hamm HD8VV (2011) (1.58 Tonne),Roller Hamm HD8VV (2011) (1.58 Tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
81,81 - Compressor Atlas Copco XAS47 (2013) (2.6 m続/min),Compressor Atlas Copco XAS47 (2013) (2.6 m続/min),Hour,Hours,TRUE,,,,,,TRUE,,,TRUE
85,85 - Van Sprinter CDI 311 (08-D 42104),Van Sprinter CDI 311 (08-D 42104),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
94,94 - Anti-Vandal Welfare Unit (24' x 10'),Anti-Vandal Welfare Unit (24' x 10'),Day,,,,,,,,,,,TRUE
95,95 - Anti-Vandal Office Unit (20' x 10'),Anti-Vandal Office Unit (20' x 10'),Day,,,,,,,,,,,TRUE
97,97 - Truck Hino Tipper (07-WW-3949),Truck Hino Tipper (07-WW-3949),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
99,99 - Truck DAF FA45 180 Tar Sprayer/Combi (06-C-26909),Truck DAF FA45 180 Tar Sprayer/Combi (06-C-26909),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
100,100 - Excavator Case 590ST (141-KE-3359),Excavator Case 590ST (141-KE-3359),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
101,101 - Excavator Case CX145 SD (2014),Excavator Case CX145 SD (2014),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
102,102 - Trench Roller Wacker RTSC2 (1.45 Tonne),Trench Roller Wacker RTSC2 (1.45 Tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
103,103 - Roller Bomag BW 65H (0.68 Tonne),Roller Bomag BW 65H (0.68 Tonne),Hour,,,,,,,,,,,TRUE
104,104 - Van Sprinter CDI 313 (11-KE-5645),Van Sprinter CDI 313 (11-KE-5645),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
105,105 - Van Caddy (09-KE-16929),Van Caddy (09-KE-16929),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
107,107 - Van Hiace (08-C-14338),Van Hiace (08-C-14338),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
108,108 - Van Sprinter CDI 313 - (10-KE-17246),Van Sprinter CDI 313 - (10-KE-17246),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
109,109 - Footboard Tricel (1m x 1m),Footboard Tricel (1m x 1m),No.,,,,,,,,,,,TRUE
110,110 - Road Plates - Steel,Road Plates - Steel,No.,,,,,,,,,,,TRUE
111,"111 - Anti-Vandal Storage Unit (Towed) (12' x 6'6"")","Anti-Vandal Storage Unit (Towed) (12' x 6'6"")",Day,,,,,,,,,,,TRUE
112,112 - Silt Curtain 120M,Silt Curtain 120M,Hour,,,,,,,,,,,TRUE
113,113 - Anti-Vandal Toilet Unit (Single),Anti-Vandal Toilet Unit (Single),Day,,,,,,,,,,,TRUE
114,114 - Pedestrian Barrier (2m x 1m),Pedestrian Barrier (2m x 1m),No.,,,,,,,,,,,TRUE
116,116 - Anti-Vandal Office Unit (24' x 10'),Anti-Vandal Office Unit (24' x 10'),Day,,,,,,,,,,,TRUE
117,"117 - Pressure Test Pump / 2,000l Bowser","Pressure Test Pump / 2,000l Bowser",Hour,,,,,,,,,,,TRUE
118,"118 - Anti-Vandal Storage Unit (Towed) (12' x 6'6"")","Anti-Vandal Storage Unit (Towed) (12' x 6'6"")",Day,,,,,,,,,,,TRUE
119,119 - Site Fuel Pump,Site Fuel Pump,Day,,,,,,,,,,,TRUE
120,120 - Trench Box 2m High x 3m Long,Trench Box 2m High x 3m Long,Hour,,,,,,,,,,,TRUE
121,121 - Trench Box 2m High x 3m Long,Trench Box 2m High x 3m Long,Hour,,,,,,,,,,,TRUE
122,122 - Harris Fence c/w Blocks & Couplers (3.5m x 2.0m),Harris Fence c/w Blocks & Couplers (3.5m x 2.0m),No.,,,,,,,,,,,TRUE
123,123 - Van Ford Transit Tipper (10-KE-17386),Van Ford Transit Tipper (10-KE-17386),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
124,124 - Truck DAF LF55-250 Tipper/Grab (06-KE-16447),Truck DAF LF55-250 Tipper/Grab (06-KE-16447),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
125,125 - Excavator Kubota U35a3 (2015),Excavator Kubota U35a3 (2015),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
126,126 - Dumper Benford 8 Tonne (03-KE-5084),Dumper Benford 8 Tonne (03-KE-5084),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
128,128 - Pipe Burster Grundoburst 400,Pipe Burster Grundoburst 400,Hour,,,,,,,,,,,TRUE
130,130 - Inflatable Dam (20m x 1.2m),Inflatable Dam (20m x 1.2m),Hour,,,,,,,,,,,TRUE
131,131 - Anti-Vandal Office Unit (16' x 7'),Anti-Vandal Office Unit (16' x 7'),Day,,,,,,,,,,,TRUE
134,134 - Traffic Lights MPB-3400 (Double Battery),Traffic Lights MPB-3400 (Double Battery),Hour,,,,,,,,,,,TRUE
138,138 - Anti-Vandal Office Unit (30' x 10'),Anti-Vandal Office Unit (30' x 10'),Day,,,,,,,,,,,TRUE
139,139 - Excavator Kubota KX71-3 (2016),Excavator Kubota KX71-3 (2016),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
140,"140 - Welfare Combi Unit (2003) (12' x 7'6"")","Welfare Combi Unit (2003) (12' x 7'6"")",Day,,,,,,,,,,,TRUE
141,141 - Van Ford Transit Tipper (12-KE-4780),Van Ford Transit Tipper (12-KE-4780),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
142,142 - Excavator Kubota KX71-3 (2016),Excavator Kubota KX71-3 (2016),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
143,143 - Truck DAF LF45 180 Tipper (08-KE-17340),Truck DAF LF45 180 Tipper (08-KE-17340),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
146,"146 - Sludge Pump 6""","Sludge Pump 6""",Hour,Hours,TRUE,,,,,,,,,TRUE
147,147 - Storage Container (40' x 8'),Storage Container (40' x 8'),Day,,,,,,,,,,,TRUE
148,148 - Manhole Box 3.0m (L) x 2.4m (H),Manhole Box 3.0m (L) x 2.4m (H),Hour,,,,,,,,,,,TRUE
149,149 - Excavator Kubota U27-4 (2016),Excavator Kubota U27-4 (2016),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
150,150 - Drag Box 5.1m x 2.4m,Drag Box 5.1m x 2.4m,Hour,,,,,,,,,,,TRUE
151,151 - Truck Iveco 140E25 4WD/Crane (09-KE-17303),Truck Iveco 140E25 4WD/Crane (09-KE-17303),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
152,152 - VMS Sign (2.4m x 1.2m),VMS Sign (2.4m x 1.2m),Day,,,,,,,,,,,TRUE
153,153 - VMS Sign (2.4m x 1.2m),VMS Sign (2.4m x 1.2m),Day,,,,,,,,,,,TRUE
154,154 - Van Sprinter CDI 313 (141-KE-3706),Van Sprinter CDI 313 (141-KE-3706),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
155,155 - Traffic Lights Diabolux (Plastic) (2017),Traffic Lights Diabolux (Plastic) (2017),Hour,,,,,,,,,,,TRUE
156,156 - Traffic Lights Diabolux (Plastic) (2017),Traffic Lights Diabolux (Plastic) (2017),Hour,,,,,,,,,,,TRUE
157,157 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
158,158 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
159,159 - Van Caddy (131-KE-3359),Van Caddy (131-KE-3359),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
160,160 - Van Sprinter Dropside CDI 313 (151-KE-4590),Van Sprinter Dropside CDI 313 (151-KE-4590),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
161,161 - Van Sprinter Dropside CDI 313 (151-KE-4613),Van Sprinter Dropside CDI 313 (151-KE-4613),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
162,162 - Planer Wirtgen W500DC (1997),Planer Wirtgen W500DC (1997),Hour,Hours,TRUE,,,,TRUE,,,,,TRUE
163,163 - Lighting Tower SMC TL35 (2006),Lighting Tower SMC TL35 (2006),Day,Hours,TRUE,,,,,,,,,TRUE
164,164 - Excavator Case CX135sr (2008),Excavator Case CX135sr (2008),Hour,,TRUE,Excavator 360,,,TRUE,,,,,TRUE
165,165 - Traffic Lights MPB-3400 (Single Battery),Traffic Lights MPB-3400 (Single Battery),Hour,,,,,,,,,,,TRUE
166,166 - Traffic Lights MPB-3400 (Single Battery),Traffic Lights MPB-3400 (Single Battery),Hour,,,,,,,,,,,TRUE
167,167 - Traffic Lights MPB-3400 (Single Battery),Traffic Lights MPB-3400 (Single Battery),Hour,,,,,,,,,,,TRUE
169,169 - Traffic Lights MPB-3400 (Single Battery),Traffic Lights MPB-3400 (Single Battery),Hour,,,,,,,,,,,TRUE
170,170 - Nissan Patrol (06-CE-1569),Nissan Patrol (06-CE-1569),Hour,,TRUE,,,,,,,,,TRUE
173,173 - Scissors Lift - Genie GS-1932 (2006),Scissors Lift - Genie GS-1932 (2006),Hour,,,MEWP - Mobile Elevated Work Platform,,,,,,TRUE,,TRUE
174,174 - Excavator Kubota U35a3 (2017),Excavator Kubota U35a3 (2017),Hour,Hours,TRUE,,,,TRUE,,,,,TRUE
175,175 - Van Sprinter Dropside CDI 313 (151-KE-4873),Van Sprinter Dropside CDI 313 (151-KE-4873),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
176,176 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
177,177 - Dumper Thwaites 9 Tonne (11-KE-7486),Dumper Thwaites 9 Tonne (11-KE-7486),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
178,178 - Excavator Kubota U48-4 (2018),Excavator Kubota U48-4 (2018),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
179,179 - Dumper Thwaites 9 Tonne (10-KE-18435),Dumper Thwaites 9 Tonne (10-KE-18435),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
180,180 - Van Sprinter CDI 314 (171-KE-4948),Van Sprinter CDI 314 (171-KE-4948),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
181,181 - Van Caddy (141-D-21419),Van Caddy (141-D-21419),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
182,182 - Truck DAF CF75-310 c/w Hotbox (09-KE-17928),Truck DAF CF75-310 c/w Hotbox (09-KE-17928),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
183,183 - Anti-Vandal Welfare Unit (24' x 9'),Anti-Vandal Welfare Unit (24' x 9'),Day,,,,,,,,,,,TRUE
184,184 - Excavator Case CX235Csr (2014),Excavator Case CX235Csr (2014),Hour,,TRUE,Excavator 360,,,TRUE,,,,,TRUE
186,186 - Roller JCB Vibromax VM132D (12-C-9433) (13 tonne),Roller JCB Vibromax VM132D (12-C-9433) (13 tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
187,187 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
188,188 - Anti-Vandal Welfare Unit (24' x 9'),Anti-Vandal Welfare Unit (24' x 9'),Day,,,,,,,,,,,TRUE
190,190 - Porta Gantry c/w 2m Beam,Porta Gantry c/w 2m Beam,Hour,,,,,,,,,,,TRUE
191,191 - Loading Shovel Volvo L60E (06-KE-16731),Loading Shovel Volvo L60E (06-KE-16731),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
192,192 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
193,193 - Generator CAT (2018),Generator CAT (2018),Hour,Hours,TRUE,,,,,,,,,TRUE
194,194 - Toyota Hilux (152-KE-2746),Toyota Hilux (152-KE-2746),Hour,,TRUE,,,,,,,,,TRUE
195,195 - Van Sprinter CDI 313 (161-KE-5960),Van Sprinter CDI 313 (161-KE-5960),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
196,196 - Van Sprinter CDI 314 (172-KE-2262),Van Sprinter CDI 314 (172-KE-2262),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
197,197 - Dumper Thwaites 9 Tonne (12-KE-6243),Dumper Thwaites 9 Tonne (12-KE-6243),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
198,198 - Mobile Tower 3.73m x 2.0m x 0.7m (2019),Mobile Tower 3.73m x 2.0m x 0.7m (2019),Hour,,,,,,,,,,,TRUE
199,199 - Dumper Thwaites 9 Tonne (12-KE-6343),Dumper Thwaites 9 Tonne (12-KE-6343),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
200,200 - Van Sprinter Dropside CDI 313 (142-KE-2677),Van Sprinter Dropside CDI 313 (142-KE-2677),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
202,202 - Van Sprinter Dropside CDI 313 (152-KE-2985),Van Sprinter Dropside CDI 313 (152-KE-2985),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
203,203 - Excavator Kubota U55-4 (2019),Excavator Kubota U55-4 (2019),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
204,204 - Truck DAF LF45 180 Tipper/Grab (132-KE-2270),Truck DAF LF45 180 Tipper/Grab (132-KE-2270),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
205,205 - Office Unit (40' x 12'),Office Unit (40' x 12'),Day,,,,,,,,,,,TRUE
206,206 - Van Toyota Auris (162-D-9743),Van Toyota Auris (162-D-9743),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
207,207 - Teleporter JCB 540-140 (201-KE-426),Teleporter JCB 540-140 (201-KE-426),Hour,Hours,TRUE,Telescopic Handler,,TRUE,,,,,,TRUE
208,208 - Galvanised Steel Hoarding (2m x 2m),Galvanised Steel Hoarding (2m x 2m),Day,,,,,TRUE,,,,,TRUE,TRUE
209,209 - Van Toyota Auris (192-D-18517),Van Toyota Auris (192-D-18517),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
210,210 - Excavator Volvo EW140D (141-KE-5310),Excavator Volvo EW140D (141-KE-5310),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
211,211 - Excavator Case CX245D (2020),Excavator Case CX245D (2020),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
212,212 - Bunded Diesel Tank 900 Litre (2020),Bunded Diesel Tank 900 Litre (2020),Hour,,,,,,,,,,,TRUE
213,213 - Toyota Hilux (171-KE-5528),Toyota Hilux (171-KE-5528),Hour,,TRUE,,,,,,,,,TRUE
214,214 - Van Toyota Auris (162-D-15167),Van Toyota Auris (162-D-15167),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
215,215 - Truck DAF LF55 Road Sweeper (132-KE-2356),Truck DAF LF55 Road Sweeper (132-KE-2356),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
216,216 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
217,217 - Van Sprinter CDI 314 (171-KE-5537),Van Sprinter CDI 314 (171-KE-5537),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
218,218 - Van Sprinter CDI 314 (171-KE-5544),Van Sprinter CDI 314 (171-KE-5544),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
219,219 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
220,220 - Roller Bomag BW120AD-4 (2011) (2.60 Tonne),Roller Bomag BW120AD-4 (2011) (2.60 Tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
221,221 - Van Toyota Auris (191-RN-862),Van Toyota Auris (191-RN-862),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
222,222 - Truck DAF LF45 180 Tipper/Grab (11-KE-8141),Truck DAF LF45 180 Tipper/Grab (11-KE-8141),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
223,223 - Office Unit (20' x 10'),Office Unit (20' x 10'),Day,,,,,,,,,,,TRUE
224,224 - Office Unit (40' x 12'),Office Unit (40' x 12'),Day,,,,,,,,,,,TRUE
225,225 - Generator CGM (2018),Generator CGM (2018),Hour,Hours,TRUE,,,,,,,,,TRUE
226,226 - Truck Scania P450 Tipper/Grab (202-KE-768),Truck Scania P450 Tipper/Grab (202-KE-768),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
227,227 - Truck Scania P450 Tipper/Grab (202-KE-769),Truck Scania P450 Tipper/Grab (202-KE-769),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
228,228 - Van Toyota Auris (161-D-8057),Van Toyota Auris (161-D-8057),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
229,229 - Office Unit (20' x 10'),Office Unit (20' x 10'),Day,,,,,,,,,,,TRUE
230,230 - Excavator Kubota U17-3 (2020),Excavator Kubota U17-3 (2020),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
231,231 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
232,232 - Van Sprinter CDI 314 (182-KE-2357),Van Sprinter CDI 314 (182-KE-2357),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
233,233 - Van Sprinter Dropside CDI 313 (142-KE-2926),Van Sprinter Dropside CDI 313 (142-KE-2926),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
234,234 - Van Sprinter CDI 314 (182-KE-2350),Van Sprinter CDI 314 (182-KE-2350),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
235,235 - Van Vito CDI 111 (172-KE-2563),Van Vito CDI 111 (172-KE-2563),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
236,236 - Van Sprinter Dropside CDI 314 (171-KE-5954),Van Sprinter Dropside CDI 314 (171-KE-5954),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
237,237 - Dumper Thwaites 9 Tonne (131-KE-4579),Dumper Thwaites 9 Tonne (131-KE-4579),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
238,238 - Dumper Thwaites 9 Tonne (131-KE-4577),Dumper Thwaites 9 Tonne (131-KE-4577),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
239,239 - Excavator Kubota KX030-4 (2020),Excavator Kubota KX030-4 (2020),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
240,240 - Truck DAF LF150 Tipper (161-KE-7123),Truck DAF LF150 Tipper (161-KE-7123),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
241,241 - Anti-Vandal Office Unit (20' x 10'),Anti-Vandal Office Unit (20' x 10'),Day,,,,,,,,,,,TRUE
242,242 - Loading Shovel Volvo L120G (131-KE-XXXX),Loading Shovel Volvo L120G (131-KE-XXXX),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
243,243 - Traffic Lights MPB-1400 (Single Battery),Traffic Lights MPB-1400 (Single Battery),Hour,,,,,,,,,,,TRUE
244,244 - Traffic Lights MPB-1400 (Single Battery),Traffic Lights MPB-1400 (Single Battery),Hour,,,,,,,,,,,TRUE
245,245 - Traffic Lights MPB-1400 (Single Battery),Traffic Lights MPB-1400 (Single Battery),Hour,,,,,,,,,,,TRUE
246,246 - Traffic Lights MPB-1400 (Single Battery),Traffic Lights MPB-1400 (Single Battery),Hour,,,,,,,,,,,TRUE
247,247 - Generator CAT 110Kva (2020),Generator CAT 110Kva (2020),Hour,Hours,TRUE,,,,,,,,,TRUE
248,"248 - Welfare Combi Unit (2020) (12' x 7'6"")","Welfare Combi Unit (2020) (12' x 7'6"")",Day,,,,,,,,,,,TRUE
249,249 - Van Toyota Auris (171-D-33991),Van Toyota Auris (171-D-33991),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
